,Unnamed: 0,ID,LIMIT_BAL,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,longest_unpaid_streak,total_bill,total_paid,avg_pay_ratio
15,3784,3785,30000.0,1,2,32,0,0,2,0,0,0,29250.0,30496.0,29702.0,28839.0,29375.0,32729.0,3600.0,0.0,1500.0,1300.0,4000.0,0.0,0,2,180391.0,10400.0,0.0673064517837401
16,24707,24708,200000.0,1,1,43,-2,-2,-2,-2,-2,-2,3005.0,4709.0,7544.0,9409.0,57023.0,2770.0,4709.0,7574.0,9497.0,57023.0,2770.0,1904.0,0,-2,84460.0,83477.0,1.0026658835142048
17,8980,8981,200000.0,1,2,29,-1,-1,-1,-1,-1,-1,170.0,3300.0,38526.0,-93.0,18681.0,12399.0,3318.0,42497.0,0.0,18774.0,12461.0,9526.0,0,-1,72983.0,86576.0,0.823701303633112
18,4786,4787,100000.0,2,2,56,0,0,2,0,0,0,97549.0,102864.0,98969.0,70352.0,68186.0,68538.0,9300.0,0.0,2500.0,2700.0,2700.0,2600.0,1,2,506458.0,19800.0,0.040987601552769495
19,6787,6788,210000.0,1,2,31,0,0,0,0,0,0,40167.0,41518.0,43023.0,44005.0,45294.0,46387.0,2000.0,2500.0,2000.0,2000.0,2000.0,2000.0,0,0,260394.0,12500.0,0.047800239706430506
20,17007,17008,30000.0,1,2,24,0,-1,-1,0,0,0,30900.0,410.0,28883.0,24291.0,27503.0,28142.0,410.0,28883.0,1710.0,6000.0,1200.0,1175.0,1,0,140129.0,39378.0,0.4662390709736578
21,12056,12057,60000.0,2,2,41,0,0,0,0,0,0,60672.0,58929.0,60335.0,59384.0,60861.0,59241.0,2741.0,3000.0,2300.0,2600.0,2200.0,2665.0,0,0,359422.0,15506.0,0.04296473910299038
22,17196,17197,150000.0,2,2,28,0,0,0,0,2,2,49278.0,50156.0,51849.0,54659.0,55681.0,53878.0,2000.0,2500.0,4300.0,2500.0,0.0,2800.0,0,2,315501.0,14100.0,0.04233214284841225
23,155,156,140000.0,1,1,34,0,0,0,0,0,0,23944.0,28049.0,32073.0,43129.0,47086.0,48699.0,5000.0,5000.0,11885.0,5000.0,3000.0,5504.0,0,0,222980.0,35389.0,0.15550281341479905
24,8560,8561,50000.0,2,1,32,-1,-1,-1,-1,-1,-1,316.0,282.0,316.0,316.0,316.0,316.0,282.0,350.0,316.0,316.0,316.0,316.0,0,-1,1862.0,1896.0,1.021518987341772
25,21581,21582,330000.0,2,2,31,0,0,0,0,0,0,30532.0,33814.0,38243.0,39603.0,40542.0,41239.0,3814.0,5000.0,2000.0,1598.0,1500.0,2000.0,0,0,223973.0,15912.0,0.07396537469261809
26,16739,16740,200000.0,3,2,48,0,0,0,0,-1,-1,87035.0,79529.0,67675.0,56519.0,11884.0,14343.0,2915.0,2646.0,2208.0,12503.0,14869.0,0.0,0,0,316985.0,35141.0,0.4407156438030806
27,15299,15300,270000.0,3,1,43,0,0,0,0,0,0,46107.0,42151.0,40546.0,36822.0,31700.0,29133.0,1700.0,1700.0,1500.0,1100.0,1200.0,1200.0,0,0,226459.0,8400.0,0.03977722232456073
28,10718,10719,60000.0,1,2,28,-1,-1,-2,-2,-2,-2,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,20000.0,0.0,1.0
29,24556,24557,260000.0,1,2,31,-1,-1,-1,-1,-1,-1,500.0,0.0,832.0,0.0,284.0,463.0,0.0,832.0,0.0,284.0,463.0,0.0,1,-1,2079.0,1579.0,1.0
30,4811,4812,50000.0,2,2,43,0,0,0,0,0,0,50665.0,50854.0,47862.0,20246.0,20321.0,20387.0,1940.0,1407.0,704.0,730.0,796.0,520.0,1,0,210335.0,6097.0,0.03545713202531854
31,4644,4645,90000.0,2,1,47,-1,-1,-1,-1,-1,-1,1887.0,43542.0,12148.0,880.0,10880.0,880.0,43542.0,12148.0,880.0,10880.0,880.0,1080.0,0,-1,70217.0,69410.0,1.0
32,23273,23274,180000.0,2,2,46,-2,-2,-2,-2,-2,-2,1905.0,2453.0,6997.0,3064.0,2158.0,9331.0,2453.0,6997.0,3064.0,2158.0,9331.0,0.0,0,-2,25908.0,24003.0,1.0
33,20377,20378,10000.0,2,2,21,2,0,0,0,0,0,8999.0,9042.0,10038.0,9784.0,9984.0,9780.0,1400.0,1305.0,1000.0,200.0,196.0,0.0,1,2,57627.0,4101.0,0.08542392318603657
34,23153,23154,180000.0,2,2,35,0,0,0,0,0,0,174068.0,160979.0,165896.0,145300.0,152877.0,156074.0,10000.0,10092.0,10000.0,10000.0,10000.0,5000.0,0,0,955194.0,55092.0,0.06425211114835301
35,18570,18571,360000.0,2,2,27,0,0,-1,-1,-1,-2,12389.0,-5.0,1145.0,1169.0,-1.0,-1.0,0.0,1150.0,1174.0,0.0,0.0,0.0,0,0,14696.0,2324.0,0.4017287944385714
36,7562,7563,120000.0,2,2,27,0,0,0,0,0,2,36175.0,37062.0,32916.0,30947.0,22974.0,19539.0,3000.0,2000.0,1500.0,2000.0,0.0,8000.0,0,2,179613.0,16500.0,0.05544621269595523
37,17052,17053,70000.0,3,2,25,2,0,0,0,0,0,70963.0,71056.0,70850.0,70823.0,71006.0,70828.0,2527.0,2615.0,2500.0,3000.0,2600.0,3000.0,1,2,425526.0,16242.0,0.03734606520052069
38,9759,9760,200000.0,3,1,45,-1,-1,0,-1,0,-1,80.0,-460.0,4091.0,5463.0,4978.0,975.0,2230.0,5029.0,5463.0,100.0,975.0,255.0,1,0,15127.0,14052.0,-0.3196907808703678
39,3204,3205,200000.0,1,2,28,-2,-2,-2,-2,-2,-2,3330.0,2665.0,115323.0,21547.0,4056.0,3180.0,2686.0,115916.0,21722.0,4076.0,3196.0,17660.0,0,-2,150101.0,165256.0,1.0062212394922545
40,20056,20057,340000.0,2,1,47,-1,-1,-1,-1,-1,-1,507.0,892.0,5221.0,7627.0,580.0,999.0,892.0,5269.0,8193.0,596.0,999.0,176340.0,0,-1,15826.0,192289.0,1.0221979782457642
41,306,307,500000.0,2,1,36,-1,-1,-1,-1,-1,-1,10483.0,23956.0,0.0,8500.0,4590.0,0.0,23962.0,0.0,8500.0,4590.0,0.0,0.0,0,-1,47529.0,37052.0,1.0000500918350308
42,15694,15695,250000.0,1,2,31,1,-2,-1,-1,-1,-1,-160.0,-550.0,450.0,330.0,-60.0,1540.0,0.0,1390.0,660.0,0.0,1600.0,3000.0,0,1,1550.0,6650.0,1.2255699855699855
43,3929,3930,50000.0,2,1,29,0,0,0,0,0,0,26052.0,27631.0,29128.0,29707.0,28825.0,29022.0,2000.0,2000.0,2500.0,1033.0,1053.0,1034.0,0,0,170365.0,9620.0,0.05946398819282704
44,16930,16931,50000.0,2,2,53,0,0,0,0,0,0,48353.0,48005.0,49115.0,48688.0,48927.0,49106.0,2000.0,2581.0,1900.0,1919.0,1887.0,1127.0,0,0,292194.0,11414.0,0.04217704550195623
45,2835,2836,50000.0,1,1,27,2,2,2,2,0,0,43333.0,46308.0,47250.0,46192.0,46997.0,48221.0,4000.0,2000.0,0.0,1700.0,2000.0,3600.0,1,2,278301.0,13300.0,0.04127088663680878
46,10397,10398,110000.0,1,2,26,0,0,0,0,0,0,57861.0,47409.0,47743.0,45654.0,26525.0,22937.0,2191.0,1525.0,18236.0,1500.0,2000.0,1000.0,0,0,248129.0,26452.0,0.12426835098601248
47,25962,25963,330000.0,1,1,31,0,0,0,0,0,0,22285.0,23111.0,23622.0,23253.0,22525.0,22419.0,1700.0,1700.0,1700.0,1000.0,1000.0,1211.0,0,0,137215.0,8311.0,0.06152676835710715
48,5412,5413,50000.0,2,3,49,0,0,0,0,2,0,24282.0,23470.0,23297.0,22546.0,19563.0,20227.0,1500.0,1500.0,2150.0,0.0,1000.0,1000.0,0,2,133385.0,7150.0,0.0546193627242126
49,19701,19702,140000.0,1,2,32,0,0,0,0,0,0,112933.0,114564.0,118713.0,121248.0,123232.0,126242.0,5000.0,6000.0,6000.0,5500.0,5000.0,6000.0,0,0,716932.0,33500.0,0.045581775642240085
50,28072,28073,40000.0,4,1,48,0,0,0,0,0,0,36581.0,37896.0,40262.0,40370.0,39970.0,39970.0,1926.0,3292.0,1400.0,0.0,0.0,0.0,0,0,235049.0,6618.0,0.03345339320586806
51,25109,25110,50000.0,3,1,50,2,0,0,0,0,0,8917.0,10080.0,11106.0,12109.0,12206.0,13915.0,1468.0,1494.0,1497.0,594.0,2066.0,0.0,1,2,68333.0,7119.0,0.1201842634288186
52,26367,26368,180000.0,2,3,48,-1,-1,-1,-1,-2,-1,860.0,102.0,851.0,0.0,346.0,1592.0,102.0,851.0,0.0,346.0,1592.0,1098.0,1,-1,3751.0,3989.0,1.0
53,4340,4341,380000.0,1,1,34,2,2,2,2,2,2,322199.0,331518.0,337703.0,343612.0,351089.0,358401.0,16001.0,13150.0,13000.0,13150.0,13300.0,13000.0,0,2,2044522.0,81601.0,0.03992058588226956
54,8246,8247,160000.0,1,1,43,-1,-1,-1,0,0,0,162.0,414.0,6437.0,16520.0,14374.0,10969.0,414.0,6437.0,10428.0,463.0,426.0,219.0,1,0,48876.0,18387.0,0.5404565049822432
55,12144,12145,190000.0,2,1,32,1,2,2,2,2,0,13041.0,13936.0,13415.0,14590.0,14216.0,14823.0,1400.0,0.0,1400.0,0.0,1000.0,1000.0,0,2,84021.0,4800.0,0.05277562068645882
56,12374,12375,20000.0,2,2,39,4,3,2,0,0,0,11553.0,11081.0,11021.0,11240.0,11476.0,11708.0,0.0,420.0,402.0,417.0,423.0,1472.0,1,4,68079.0,3134.0,0.029268006843782723
57,6358,6359,310000.0,1,1,48,0,0,-1,-1,-1,2,29662.0,5384.0,4488.0,2630.0,150.0,335.0,1536.0,4510.0,2652.0,150.0,185.0,0.0,0,2,42649.0,9033.0,0.7701591066331146
58,26677,26678,150000.0,1,2,26,-2,-2,-2,-2,0,0,13707.0,12119.0,121170.0,27949.0,23158.0,67745.0,16408.0,96373.0,28005.0,5021.0,50000.0,4004.0,0,0,265848.0,199811.0,0.8212282292175688
59,6407,6408,90000.0,3,1,35,2,2,2,0,0,0,35077.0,37557.0,29355.0,20046.0,14905.0,15075.0,3407.0,56.0,603.0,553.0,430.0,133.0,0,2,152015.0,5182.0,0.03766592639745357
60,19324,19325,160000.0,3,1,38,-2,-2,-2,-2,-2,-2,5207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,0,-2,6242.0,1242.0,1.0
61,12626,12627,80000.0,3,1,55,0,0,0,0,0,0,82567.0,84221.0,80041.0,19000.0,15178.0,14717.0,3121.0,8443.0,1582.0,548.0,531.0,479.0,0,0,295724.0,14704.0,0.059597895052495256
62,5094,5095,360000.0,1,2,26,0,-1,-1,0,-1,-1,11910.0,1356.0,4073.0,17812.0,2981.0,1936.0,1500.0,5000.0,15000.0,3000.0,2000.0,1033.0,0,0,40068.0,27533.0,1.043070301956892
63,8747,8748,160000.0,1,1,41,-2,-2,-1,-1,-2,-1,155458.0,157690.0,150209.0,151343.0,154456.0,157632.0,7200.0,6100.0,5300.0,5400.0,165759.0,4872.0,0,-1,926788.0,194631.0,0.2415614561992084
64,24906,24907,50000.0,2,2,32,5,4,3,2,0,0,46750.0,45734.0,44741.0,43562.0,44039.0,45008.0,0.0,0.0,0.0,1262.0,1358.0,1275.0,0,5,269834.0,3895.0,0.011765766393580613
65,12344,12345,30000.0,2,1,53,1,3,2,3,2,0,18663.0,18080.0,18986.0,18390.0,17954.0,18654.0,0.0,1500.0,0.0,0.0,1000.0,692.0,1,3,110727.0,3192.0,0.026522677671530832
66,16122,16123,300000.0,1,2,33,0,-1,-1,-1,-1,-1,13713.0,14547.0,13328.0,20714.0,13054.0,12632.0,15003.0,13539.0,20714.0,13054.0,12636.0,12700.0,0,0,87988.0,87646.0,1.00949893161217
67,8444,8445,320000.0,1,2,30,-2,-2,-2,-2,-2,-2,0.0,200.0,3663.0,992.0,1627.0,6661.0,200.0,3696.0,997.0,1635.0,6694.0,2508.0,0,-2,13143.0,15730.0,1.0047841135737652
68,11771,11772,120000.0,2,1,39,2,-1,-1,-1,-1,-1,435.0,435.0,1887.0,435.0,435.0,435.0,435.0,1887.0,435.0,435.0,435.0,435.0,0,2,4062.0,4062.0,1.0
69,6315,6316,10000.0,1,2,24,0,0,2,0,0,0,4216.0,6476.0,6224.0,6347.0,12856.0,8078.0,2500.0,0.0,227.0,239.0,3412.0,0.0,1,2,44197.0,6378.0,0.17255560265333275
70,28343,28344,250000.0,2,1,38,1,-2,-1,-1,-1,-2,-163.0,-553.0,212.0,49924.0,-918.0,-1567.0,0.0,2000.0,51002.0,2.0,0.0,2000.0,0,1,46935.0,55004.0,2.090675287200305
71,8162,8163,200000.0,1,2,31,0,0,0,0,0,0,151819.0,154914.0,157776.0,160520.0,163878.0,167872.0,6000.0,5769.0,5411.0,5603.0,6367.0,4500.0,0,0,956779.0,33650.0,0.03622452672660643
72,7930,7931,440000.0,2,1,47,1,-1,-1,-1,-1,-1,-6.0,1160.0,1807.0,-11.0,2220.0,165.0,1166.0,1891.0,0.0,2231.0,165.0,1573.0,1,1,5335.0,7026.0,0.811322651392113
73,7201,7202,80000.0,1,2,33,0,0,0,0,0,2,75985.0,79918.0,70203.0,67934.0,75781.0,73848.0,12036.0,10010.0,3000.0,9400.0,0.0,8000.0,0,2,443669.0,42446.0,0.09227860473663822
74,8018,8019,90000.0,2,2,25,0,0,0,0,0,0,81694.0,78656.0,78054.0,78116.0,75483.0,72821.0,3609.0,5000.0,4000.0,3315.0,7539.0,5000.0,0,0,464824.0,28463.0,0.06171849141091129
75,8500,8501,400000.0,1,1,28,-1,-1,2,0,0,0,6500.0,405016.0,391178.0,392932.0,394410.0,410127.0,405016.0,0.0,14000.0,13560.0,28000.0,0.0,0,2,2000163.0,460576.0,0.22765631540240522
76,24637,24638,420000.0,2,2,30,0,0,0,0,0,0,122418.0,113122.0,89586.0,83713.0,55375.0,54291.0,4816.0,4128.0,3147.0,2018.0,3130.0,3006.0,0,0,518505.0,20245.0,0.04406791595013885
77,12962,12963,20000.0,2,1,28,2,-1,-1,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,0.0,390.0,390.0,390.0,390.0,0.0,780.0,1,2,1950.0,2340.0,1.0
78,285,286,210000.0,1,1,46,-1,-1,-1,-1,-1,-1,110346.0,41986.0,21874.0,20076.0,16171.0,586.0,41986.0,21874.0,20076.0,16171.0,586.0,19777.0,0,-1,211039.0,120470.0,1.0
79,28351,28352,30000.0,3,1,44,0,0,2,2,2,2,25957.0,28914.0,29754.0,28583.0,29739.0,28412.0,3400.0,1600.0,0.0,2220.0,0.0,1100.0,0,2,171359.0,8320.0,0.04920276548601754
80,18813,18814,50000.0,2,1,27,0,0,0,0,0,0,45632.0,42750.0,39776.0,33164.0,34781.0,30231.0,1837.0,2500.0,1390.0,2007.0,2000.0,2000.0,0,0,226334.0,11734.0,0.054319364699304304
81,8565,8566,180000.0,1,2,40,0,0,0,0,0,0,93648.0,92017.0,87173.0,83205.0,84996.0,89723.0,4246.0,3000.0,3100.0,3200.0,7500.0,2916.0,0,0,530762.0,23962.0,0.04781095728875516
82,9980,9981,230000.0,1,2,30,0,0,0,0,0,0,101874.0,97302.0,97383.0,97487.0,96588.0,95221.0,8000.0,5016.0,5000.0,5000.0,5000.0,5200.0,0,0,585855.0,33216.0,0.05785815838909288
83,5148,5149,110000.0,3,2,33,1,2,0,0,0,-2,7128.0,1852.0,2625.0,2625.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1,2,14230.0,1000.0,0.47619047619047616
84,6061,6062,150000.0,2,1,36,2,2,2,2,2,2,137723.0,141048.0,142475.0,143966.0,146736.0,149697.0,7000.0,5200.0,5300.0,5200.0,5500.0,5200.0,0,2,861645.0,33400.0,0.03902381010600358
85,19235,19236,180000.0,1,2,39,-2,-2,-2,-2,-2,-2,11732.0,6653.0,-6674.0,18084.0,16481.0,19359.0,6653.0,330.0,36550.0,16481.0,21264.0,16253.0,0,-2,65635.0,97531.0,1.0140163757111533
86,5654,5655,460000.0,1,1,43,-2,-2,-2,-2,-2,-2,7677.0,21748.0,4032.0,23724.0,12972.0,11111.0,21958.0,4052.0,23862.0,13036.0,11167.0,45034.0,0,-2,81264.0,119109.0,1.0060814051667126
87,26283,26284,200000.0,3,1,41,-1,-1,-1,-1,-1,2,3000.0,187.0,1306.0,3142.0,3332.0,1686.0,187.0,1306.0,3332.0,1686.0,0.0,1496.0,0,2,12653.0,8007.0,0.7132946877032162
88,22145,22146,60000.0,1,2,29,0,0,0,0,0,0,23304.0,20517.0,20261.0,22832.0,24234.0,24928.0,3000.0,3000.0,3000.0,2000.0,2000.0,2000.0,0,0,136076.0,15000.0,0.11768844042134793
89,12101,12102,250000.0,1,2,30,1,-2,-2,-1,-1,-1,0.0,0.0,0.0,700.0,150.0,200.0,0.0,0.0,700.0,150.0,200.0,0.0,0,1,1050.0,1050.0,1.0
90,3358,3359,130000.0,2,1,28,0,0,0,0,0,2,107216.0,91888.0,83975.0,76842.0,78093.0,67557.0,4000.0,4000.0,8000.0,6000.0,0.0,2500.0,1,2,505571.0,24500.0,0.05442113628852331
91,20929,20930,200000.0,2,2,35,-1,-1,-1,-2,-1,-1,1121.0,4621.0,4318.0,1640.0,6614.0,707.0,4621.0,4351.0,1654.0,6614.0,707.0,0.0,0,-1,19021.0,17947.0,1.0032358024830828
92,20750,20751,230000.0,2,1,36,-2,-2,-2,-1,0,-1,0.0,0.0,2800.0,346.0,346.0,999.0,0.0,2800.0,346.0,0.0,999.0,0.0,0,0,4491.0,4145.0,0.8
93,473,474,60000.0,3,1,38,1,2,2,0,0,2,29295.0,30321.0,31018.0,32193.0,34213.0,35002.0,1800.0,1500.0,2000.0,2700.0,1500.0,0.0,0,2,192042.0,9500.0,0.05832423707433045
94,6821,6822,220000.0,2,1,43,-1,-1,-1,-1,-1,-1,316.0,316.0,316.0,956.0,1087.0,316.0,316.0,316.0,956.0,1087.0,316.0,4342.0,0,-1,3307.0,7333.0,1.0
95,18002,18003,100000.0,2,2,30,0,0,0,0,0,0,55776.0,44953.0,46922.0,48677.0,49496.0,51010.0,3000.0,3000.0,3000.0,2000.0,2000.0,2000.0,0,0,296834.0,15000.0,0.054383663283035275
96,18095,18096,300000.0,1,1,38,0,0,0,0,0,0,113807.0,103759.0,90827.0,78887.0,57682.0,35493.0,4511.0,3300.0,4505.0,4200.0,2500.0,25151.0,0,0,480455.0,44167.0,0.056032997940627896
97,21302,21303,50000.0,2,1,51,0,0,0,0,0,0,46094.0,47157.0,48669.0,42360.0,19840.0,19840.0,1831.0,2343.0,1611.0,200.0,0.0,0.0,0,0,223960.0,5985.0,0.027016215942219902
98,11092,11093,80000.0,3,1,29,0,0,0,0,0,0,42488.0,43805.0,45126.0,45775.0,48033.0,56981.0,2000.0,2051.0,1700.0,3000.0,10000.0,2200.0,0,0,282208.0,20951.0,0.07323994739381456
99,3275,3276,20000.0,3,2,59,1,2,2,4,3,2,19074.0,18482.0,20329.0,19616.0,19303.0,1013.0,0.0,2300.0,0.0,0.0,0.0,2821.0,1,4,97817.0,5121.0,0.022627773131978945
100,7622,7623,30000.0,1,2,23,0,0,0,0,0,0,18397.0,19789.0,21450.0,22391.0,23029.0,23745.0,2000.0,2000.0,1300.0,1000.0,1100.0,2000.0,0,0,128801.0,9400.0,0.06842288709058433
101,28732,28733,60000.0,1,2,29,-1,-1,-1,-1,0,-1,5557.0,7587.0,7058.0,8127.0,4557.0,2992.0,7587.0,8028.0,8127.0,15.0,2992.0,7695.0,0,0,35878.0,34444.0,0.8281448679436124
102,8661,8662,180000.0,2,2,32,-1,-1,-2,-2,-2,-2,134.0,357.0,288.0,837.0,467.0,15868.0,357.0,288.0,837.0,467.0,15868.0,351.0,0,-1,17951.0,18168.0,1.0
103,28055,28056,50000.0,2,1,34,0,0,0,2,2,2,45974.0,47504.0,45206.0,35892.0,22989.0,22483.0,2374.0,4656.0,25.0,2869.0,0.0,814.0,0,2,220048.0,10738.0,0.05569305349453206
104,8136,8137,340000.0,1,2,33,-1,-1,-1,-1,-1,-1,592.0,7102.0,7796.0,1653.0,6185.0,415.0,7102.0,7796.0,1653.0,6185.0,415.0,2247.0,0,-1,23743.0,25398.0,1.0
105,19712,19713,80000.0,1,2,27,0,0,0,0,0,0,35303.0,36215.0,37330.0,38407.0,39168.0,40037.0,1800.0,2000.0,2000.0,1700.0,1650.0,3200.0,0,0,226460.0,12350.0,0.047993574266190595
106,24511,24512,50000.0,2,1,46,-1,0,0,0,-1,0,1853.0,3656.0,4400.0,0.0,1704.0,3715.0,2000.0,1000.0,0.0,1704.0,2011.0,0.0,0,0,15328.0,6715.0,0.6631275312504936
107,6944,6945,160000.0,2,1,50,-1,-1,-1,-1,-1,-1,1261.0,2261.0,1390.0,390.0,390.0,0.0,2261.0,1390.0,390.0,390.0,0.0,780.0,1,-1,5692.0,5211.0,1.0
108,25848,25849,230000.0,2,1,35,0,0,0,0,0,0,160560.0,158782.0,150844.0,151623.0,148261.0,153161.0,10012.0,10010.0,10000.0,7000.0,10000.0,10000.0,0,0,923231.0,57022.0,0.0615745632081305
109,1950,1951,90000.0,1,2,28,0,0,0,0,0,-1,88345.0,90260.0,87535.0,89335.0,19715.0,4709.0,3360.0,1947.0,2000.0,10000.0,4709.0,82400.0,0,0,379899.0,104416.0,0.3178167929443894
110,23092,23093,470000.0,2,2,33,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,779.0,0.0,0.0,0.0,0.0,779.0,0.0,0.0,1,-1,779.0,779.0,1.0
111,6238,6239,10000.0,2,2,27,0,0,0,0,0,0,8257.0,7995.0,4878.0,5444.0,2639.0,2697.0,2000.0,1100.0,600.0,300.0,300.0,1000.0,1,0,31910.0,5300.0,0.1621571621221638
112,23093,23094,80000.0,2,1,46,-1,-1,-1,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1,-1,2340.0,2340.0,1.0
113,25285,25286,140000.0,2,2,26,2,2,2,2,2,2,118425.0,120970.0,123141.0,124622.0,125865.0,128479.0,6000.0,5600.0,5000.0,4800.0,4800.0,4700.0,1,2,741502.0,30900.0,0.042138602858422365
114,10096,10097,30000.0,1,2,24,0,0,0,0,0,0,28749.0,29457.0,29530.0,28433.0,21365.0,0.0,2004.0,2169.0,1260.0,819.0,0.0,0.0,0,0,137534.0,6252.0,0.24482610479067649
115,15322,15323,120000.0,1,2,39,-1,-1,-2,-2,-2,-2,28724.0,-72.0,-72.0,-72.0,-72.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,28364.0,0.0,0.0
116,9951,9952,280000.0,2,2,24,-1,-1,-1,-1,-1,-2,1481.0,11884.0,-27.0,5443.0,-13.0,-13.0,11943.0,0.0,5470.0,0.0,0.0,0.0,1,-1,18755.0,17413.0,0.4019850316177207
117,779,780,50000.0,2,2,31,1,-2,-1,-1,-1,2,0.0,0.0,190.0,0.0,36059.0,32851.0,0.0,190.0,0.0,36059.0,0.0,2420.0,0,2,69100.0,38669.0,0.8
118,20548,20549,30000.0,2,2,26,3,2,2,0,0,0,30311.0,31213.0,30425.0,30062.0,30270.0,29176.0,1700.0,0.0,1310.0,908.0,915.0,1052.0,0,3,181457.0,5885.0,0.03187983672377841
119,12480,12481,110000.0,2,2,34,0,0,0,0,0,0,93039.0,81169.0,82800.0,107986.0,99627.0,80610.0,4500.0,4100.0,67606.0,4100.0,3100.0,2861.0,0,0,545231.0,86267.0,0.16212594007239634
